model,classification_accuracy,classification_precision,classification_recall,classification_f1,classification_auc,regression_mae,regression_rmse,regression_r2,regression_adjusted_r2
Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.8434782608695651,,,,
Decision Tree,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.6557377049180327,0.7971014492753623,,,,
Random Forest,0.8100558659217877,0.7777777777777778,0.7101449275362319,0.7424242424242424,0.830961791831357,,,,
Tuned Random Forest,0.7932960893854749,0.82,0.5942028985507246,0.6890756302521008,0.8419631093544137,,,,
Linear Regression,,,,,,20.80939773083867,30.473145462848695,0.39989994844401955,0.37533444925751747
